;Fora do prazo (antecipou) - AstraZeneca;Fora do prazo (antecipou) - CoronaVac;Fora do prazo (antecipou) - Pfizer;Dentro do prazo - AstraZeneca;Dentro do prazo - CoronaVac;Dentro do prazo - Pfizer;Fora do prazo (atrasou) - AstraZeneca;Fora do prazo (atrasou) - CoronaVac;Fora do prazo (atrasou) - Pfizer;Abandono - AstraZeneca;Abandono - CoronaVac;Abandono - Pfizer
2021-03-05;0.0;0.0;0.0;0.0;281.0;0.0;0.0;208.0;0.0;0.0;313.0;0.0
2021-03-06;0.0;0.0;0.0;0.0;134.0;0.0;0.0;208.0;0.0;0.0;313.0;0.0
2021-03-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;208.0;0.0;0.0;313.0;0.0
2021-03-08;0.0;0.0;0.0;0.0;19.0;0.0;0.0;222.0;0.0;0.0;333.0;0.0
2021-03-09;0.0;0.0;0.0;0.0;13.0;0.0;0.0;234.0;0.0;0.0;355.0;0.0
2021-03-10;0.0;0.0;0.0;0.0;11.0;0.0;0.0;223.0;0.0;0.0;374.0;0.0
2021-03-11;0.0;0.0;0.0;0.0;135.0;0.0;0.0;242.0;0.0;0.0;394.0;0.0
2021-03-12;0.0;0.0;0.0;0.0;113.0;0.0;0.0;244.0;0.0;0.0;401.0;0.0
2021-03-13;0.0;0.0;0.0;0.0;4.0;0.0;0.0;255.0;0.0;0.0;407.0;0.0
2021-03-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;251.0;0.0;0.0;407.0;0.0
2021-03-15;0.0;0.0;0.0;0.0;383.0;0.0;0.0;244.0;0.0;0.0;407.0;0.0
2021-03-16;0.0;0.0;0.0;0.0;399.0;0.0;0.0;243.0;0.0;0.0;407.0;0.0
2021-03-17;0.0;0.0;0.0;0.0;151.0;0.0;0.0;230.0;0.0;0.0;407.0;0.0
2021-03-18;0.0;0.0;0.0;0.0;43.0;0.0;0.0;219.0;0.0;0.0;418.0;0.0
2021-03-19;0.0;0.0;0.0;0.0;77.0;0.0;0.0;184.0;0.0;0.0;423.0;0.0
2021-03-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.0;0.0;0.0;423.0;0.0
2021-03-21;0.0;0.0;0.0;0.0;7.0;0.0;0.0;178.0;0.0;0.0;423.0;0.0
2021-03-22;0.0;0.0;0.0;0.0;762.0;0.0;0.0;185.0;0.0;0.0;433.0;0.0
2021-03-23;0.0;1.0;0.0;0.0;608.0;0.0;0.0;197.0;0.0;0.0;457.0;0.0
2021-03-24;0.0;0.0;0.0;0.0;501.0;0.0;0.0;173.0;0.0;0.0;467.0;0.0
2021-03-25;0.0;0.0;0.0;0.0;391.0;0.0;0.0;148.0;0.0;0.0;475.0;0.0
2021-03-26;0.0;0.0;0.0;0.0;339.0;0.0;0.0;142.0;0.0;0.0;492.0;0.0
2021-03-27;0.0;0.0;0.0;0.0;6.0;0.0;0.0;138.0;0.0;0.0;492.0;0.0
2021-03-28;2.0;0.0;0.0;0.0;1.0;0.0;0.0;133.0;0.0;0.0;492.0;0.0
2021-03-29;0.0;0.0;0.0;0.0;91.0;0.0;0.0;142.0;0.0;0.0;531.0;0.0
2021-03-30;0.0;0.0;0.0;0.0;394.0;0.0;0.0;139.0;0.0;0.0;546.0;0.0
2021-03-31;0.0;0.0;0.0;0.0;907.0;0.0;0.0;140.0;0.0;0.0;573.0;0.0
2021-04-01;0.0;0.0;0.0;0.0;1883.0;0.0;0.0;135.0;0.0;0.0;587.0;0.0
2021-04-02;0.0;0.0;0.0;0.0;1312.0;0.0;0.0;147.0;0.0;0.0;628.0;0.0
2021-04-03;0.0;2.0;0.0;0.0;968.0;0.0;0.0;143.0;0.0;0.0;631.0;0.0
2021-04-04;0.0;0.0;0.0;0.0;576.0;0.0;0.0;141.0;0.0;0.0;631.0;0.0
2021-04-05;0.0;0.0;0.0;0.0;249.0;0.0;0.0;137.0;0.0;0.0;633.0;0.0
2021-04-06;0.0;0.0;0.0;0.0;105.0;0.0;0.0;130.0;0.0;0.0;663.0;0.0
2021-04-07;0.0;0.0;0.0;0.0;1228.0;0.0;0.0;133.0;0.0;0.0;743.0;0.0
2021-04-08;0.0;1.0;0.0;0.0;2473.0;0.0;0.0;122.0;0.0;0.0;841.0;0.0
2021-04-09;0.0;1.0;0.0;0.0;3050.0;0.0;0.0;141.0;0.0;0.0;1142.0;0.0
2021-04-10;0.0;1.0;0.0;0.0;1904.0;0.0;0.0;147.0;0.0;0.0;1273.0;0.0
2021-04-11;0.0;0.0;0.0;0.0;1233.0;0.0;0.0;149.0;0.0;0.0;1297.0;0.0
2021-04-12;0.0;0.0;0.0;0.0;2058.0;0.0;0.0;127.0;0.0;0.0;1302.0;0.0
2021-04-13;0.0;0.0;0.0;0.0;1433.0;0.0;0.0;112.0;0.0;0.0;1310.0;0.0
2021-04-14;0.0;0.0;0.0;0.0;2381.0;0.0;0.0;107.0;0.0;0.0;1358.0;0.0
2021-04-15;0.0;0.0;0.0;0.0;604.0;0.0;2.0;122.0;0.0;0.0;1516.0;0.0
2021-04-16;0.0;3.0;0.0;0.0;562.0;0.0;2.0;124.0;0.0;0.0;2566.0;0.0
2021-04-17;0.0;1.0;0.0;0.0;120.0;0.0;2.0;123.0;0.0;0.0;2767.0;0.0
2021-04-18;0.0;0.0;0.0;1.0;96.0;0.0;2.0;120.0;0.0;0.0;2918.0;0.0
2021-04-19;0.0;0.0;0.0;0.0;490.0;0.0;2.0;121.0;0.0;0.0;3807.0;0.0
2021-04-20;0.0;0.0;0.0;0.0;351.0;0.0;2.0;118.0;0.0;0.0;6031.0;0.0
2021-04-21;0.0;0.0;0.0;6.0;827.0;0.0;2.0;109.0;0.0;0.0;6855.0;0.0
2021-04-22;1.0;1.0;0.0;641.0;1425.0;0.0;87.0;82.0;0.0;115.0;6994.0;0.0
2021-04-23;0.0;0.0;0.0;185.0;1256.0;0.0;89.0;52.0;0.0;166.0;7043.0;0.0
2021-04-24;2.0;0.0;0.0;45.0;2966.0;0.0;52.0;13.0;0.0;190.0;7052.0;0.0
2021-04-25;1.0;0.0;0.0;3.0;1065.0;0.0;28.0;0.0;0.0;190.0;7058.0;0.0
2021-04-26;2.0;0.0;0.0;71.0;14.0;0.0;11.0;0.0;0.0;218.0;7205.0;0.0
2021-04-27;0.0;0.0;0.0;150.0;138.0;0.0;0.0;0.0;0.0;489.0;7431.0;0.0
2021-04-28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;979.0;7714.0;0.0
2021-04-29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1070.0;8556.0;0.0
2021-04-30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1171.0;8818.0;0.0
2021-05-01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1171.0;9570.0;0.0
2021-05-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1171.0;10622.0;0.0
2021-05-03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1216.0;16174.0;0.0
2021-05-04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1216.0;16174.0;0.0
